index,apartment_type,metro_station,minutes_to_metro,region,number_of_rooms,area,living_area,kitchen_area,floor,number_of_floors,renovation,price
0,Secondary,Ботанический сад,13,Moscow,3,52.89,25.0,12.6,3,10,European-style renovation,18084832.0
1,New building,Нагатинская,23,Moscow,2,44.25,25.5,10.0,8,17,Cosmetic,16737304.0
2,Secondary,Аминьевская,5,Moscow,3,70.74,28.8,9.6,7,22,Cosmetic,35301363.0
3,Secondary,Белорусская,12,Moscow,3,37.91,28.2,11.5,6,9,Without renovation,14619353.0
4,New building,Кантемировская,19,Moscow,1,49.3,15.9,24.3,2,10,Cosmetic,13235613.0
5,Secondary,Тульская,22,Moscow,0,36.21,26.7,8.7,1,37,European-style renovation,14698704.0
6,Secondary,Театральная,18,Moscow,1,47.94,32.7,9.0,21,21,Cosmetic,26753907.0
7,Secondary,Домодедовская,13,Moscow region,2,33.39,11.7,8.6,24,46,Designer,13105449.0
8,Secondary,Бунинская аллея,18,Moscow,4,85.94,49.1,21.6,6,31,Without renovation,35440547.0
9,Secondary,Дмитровская,3,Moscow,4,117.92,75.9,20.5,1,16,Designer,58361724.0
10,Secondary,Бутырская,13,Moscow,6,39.5,32.2,4.9,10,8,Cosmetic,14931490.0
11,New building,Красногвардейская,19,Moscow region,1,29.34,12.9,10.2,4,10,Cosmetic,4028814.0
12,Secondary,Лужники,12,Moscow,4,101.46,81.8,14.4,2,11,Designer,100952011.0
13,Secondary,Улица Скобелевская,11,Moscow,2,129.24,97.3,11.4,1,21,European-style renovation,45130783.0
14,Secondary,Чертановская,10,Moscow,1,96.52,54.4,15.6,1,10,European-style renovation,19425901.0
15,New building,Котельники,13,Moscow region,1,49.77,23.2,11.7,13,20,Cosmetic,8078074.0
16,New building,Братиславская,12,Moscow,2,104.86,70.5,19.7,12,10,Cosmetic,22753859.0
17,Secondary,Ростокино,6,Moscow,3,119.89,51.0,18.5,1,23,European-style renovation,36386838.0
18,Secondary,Минская,9,Moscow,5,261.75,153.7,39.7,3,17,European-style renovation,322174593.0
19,Secondary,Первомайская,8,Moscow,6,83.7,58.8,18.3,9,8,Designer,28512107.0
20,Secondary,Депо,13,Moscow,1,31.98,14.5,8.3,1,10,Designer,10012946.0
21,Secondary,Митино,12,Moscow,3,62.68,38.0,14.4,11,8,European-style renovation,18935709.0
22,New building,Жулебино,14,Moscow region,0,27.81,10.8,7.7,1,14,Cosmetic,4481394.0
23,Secondary,Преображенская площадь,13,Moscow,6,94.44,61.5,18.9,3,25,Designer,36615091.0
24,Secondary,Кожуховская,18,Moscow,1,37.42,19.5,7.9,1,21,Without renovation,4651777.0
25,Secondary,Ольховая,8,Moscow,0,38.79,26.6,5.1,1,8,European-style renovation,13502732.0
26,New building,Братиславская,8,Moscow,6,155.92,100.7,8.8,6,50,Cosmetic,29619282.0
27,Secondary,Спортивная,13,Moscow,6,234.49,169.8,28.5,4,56,European-style renovation,264354988.0
28,Secondary,Красный Балтиец,18,Moscow,3,78.28,44.7,17.2,5,21,European-style renovation,30830001.0
29,Secondary,Белорусская,6,Moscow,4,285.97,73.8,30.7,2,5,European-style renovation,258774335.0
30,Secondary,Братиславская,5,Moscow,2,47.6,18.1,11.8,3,21,Cosmetic,15405100.0
31,Secondary,Крылатское,19,Moscow,0,20.59,12.2,8.0,9,43,European-style renovation,10668068.0
32,Secondary,Пятницкое шоссе,12,Moscow,2,74.8,41.9,17.5,2,21,European-style renovation,11265924.0
33,Secondary,Охотный ряд,7,Moscow,3,57.87,46.6,8.6,7,9,European-style renovation,43475239.0
34,New building,Котельники,12,Moscow region,1,31.28,11.1,3.8,17,16,Cosmetic,7426996.0
35,Secondary,Коммунарка,13,Moscow,0,19.07,9.3,4.0,2,4,Cosmetic,6337878.0
36,Secondary,Белорусская,12,Moscow,6,43.12,17.1,6.7,1,8,Designer,30325592.0
37,Secondary,Фили,19,Moscow,3,62.32,28.0,21.3,5,21,Designer,42450332.0
38,New building,Котельники,9,Moscow region,1,61.53,28.0,17.2,14,10,Cosmetic,12313413.0
39,Secondary,Савеловская,13,Moscow,1,57.63,39.5,17.3,17,23,Without renovation,16926488.0
40,Secondary,Щелковская,19,Moscow,5,283.27,79.8,30.1,31,6,European-style renovation,60327375.0
41,Secondary,Кантемировская,24,Moscow region,1,105.65,67.5,15.4,3,21,Without renovation,27201322.0
42,New building,Депо,12,Moscow,4,69.22,31.6,18.5,6,11,Cosmetic,15532110.0
43,New building,Красногвардейская,9,Moscow region,2,28.09,12.7,19.8,15,20,Cosmetic,5026429.0
44,New building,Битца,16,Moscow region,6,82.11,22.1,16.3,1,10,Cosmetic,5291477.0
45,Secondary,Нахимовский проспект,5,Moscow,3,79.12,50.7,21.1,5,14,Designer,34216591.0
46,New building,Студенческая,9,Moscow,4,83.52,47.4,22.2,1,20,Cosmetic,26486100.0
47,Secondary,Сетунь,19,Moscow,2,77.87,44.6,9.9,11,20,Cosmetic,22960251.0
48,Secondary,Алексеевская,10,Moscow,5,258.4,122.5,25.7,5,9,European-style renovation,199135905.0
49,Secondary,Марьина Роща,12,Moscow,2,93.3,45.2,14.5,9,49,European-style renovation,41983289.0
50,Secondary,Строгино,19,Moscow region,0,34.92,16.1,8.7,3,16,Without renovation,4725957.0
51,Secondary,Рассказовка,5,Moscow,5,222.15,168.8,24.9,1,11,European-style renovation,34376010.0
52,New building,Котельники,24,Moscow region,3,95.17,53.0,25.4,8,9,Cosmetic,16472416.0
53,Secondary,Прокшино,12,Moscow,1,22.58,13.7,5.3,6,23,Designer,6726276.0
54,Secondary,Охотный ряд,16,Moscow,5,246.51,77.3,15.4,1,5,European-style renovation,149479513.0
55,New building,Котельники,13,Moscow region,1,79.78,43.2,18.8,15,20,Cosmetic,6863935.0
56,New building,Братиславская,13,Moscow,1,36.01,10.6,8.0,11,20,Cosmetic,6223379.0
57,New building,Варшавская,12,Moscow,1,225.65,169.0,8.5,10,14,Cosmetic,29228408.0
58,Secondary,Киевская,51,Moscow,4,279.63,153.7,20.3,5,51,European-style renovation,250818172.0
59,Secondary,Деловой центр,13,Moscow,6,130.08,83.5,27.3,9,6,European-style renovation,65008171.0
60,Secondary,Славянский бульвар,13,Moscow,4,48.39,17.2,24.1,23,32,Without renovation,40304213.0
61,New building,Петровский Парк,13,Moscow,3,85.82,43.8,20.1,1,9,Cosmetic,14526336.0
62,Secondary,Павелецкая,13,Moscow,0,13.0,9.1,8.8,8,10,Designer,4454357.0
63,Secondary,Курская,26,Moscow,6,58.72,44.7,19.7,4,16,Designer,33859347.0
64,New building,Красногвардейская,6,Moscow region,1,23.64,11.6,11.6,1,14,Cosmetic,4782896.0
65,New building,Зябликово,13,Moscow region,3,109.96,64.6,33.7,6,10,Cosmetic,19571492.0
66,Secondary,Мякинино,13,Moscow region,1,26.83,10.5,16.7,5,14,Cosmetic,3852102.0
67,Secondary,Аминьевская,4,Moscow,0,33.72,24.0,9.9,24,11,European-style renovation,13862169.0
68,Secondary,Бутырская,5,Moscow,3,116.72,64.7,28.1,22,10,European-style renovation,53588103.0
69,Secondary,ВДНХ,19,Moscow,5,59.66,28.3,18.9,35,23,Designer,27055559.0
70,Secondary,Проспект Вернадского,13,Moscow,0,73.79,56.1,8.5,15,17,Designer,22819952.0
71,New building,Красный Балтиец,2,Moscow,4,108.21,61.2,22.0,18,8,Cosmetic,22176348.0
72,Secondary,Крылатское,11,Moscow,0,19.91,10.6,8.1,2,23,European-style renovation,11048774.0
73,New building,Красногвардейская,19,Moscow region,2,22.54,9.8,4.4,8,14,Cosmetic,4740356.0
74,Secondary,Кантемировская,6,Moscow region,2,38.31,25.1,9.2,4,8,Designer,10773983.0
75,Secondary,Тропарево,12,Moscow,2,65.64,30.9,14.7,12,24,European-style renovation,15894467.0
76,Secondary,Фили,13,Moscow,1,29.16,12.1,9.0,1,20,Cosmetic,7025050.0
77,Secondary,Белорусская,27,Moscow,1,59.41,48.7,7.1,5,22,European-style renovation,29954589.0
78,Secondary,Динамо,19,Moscow,0,19.16,9.9,4.5,1,4,European-style renovation,3506461.0
79,Secondary,Арбатская,8,Moscow,3,109.1,56.6,22.2,2,8,European-style renovation,96576839.0
80,New building,Октябрьское поле,4,Moscow,2,38.75,12.7,12.2,3,14,Cosmetic,13687814.0
81,New building,Смоленская,13,Moscow,4,130.52,76.8,20.2,5,16,Designer,58236256.0
82,New building,Красногвардейская,13,Moscow region,1,23.84,13.8,12.8,7,20,Cosmetic,3806231.0
83,Secondary,Октябрьское поле,6,Moscow,6,185.75,129.5,21.0,7,10,European-style renovation,142304357.0
84,Secondary,Депо,13,Moscow,2,36.78,15.3,10.1,3,24,Cosmetic,9803175.0
85,Secondary,Кантемировская,16,Moscow,1,22.33,13.6,8.6,13,51,European-style renovation,13025413.0
86,New building,Жулебино,9,Moscow region,3,52.07,14.7,11.3,7,24,Cosmetic,3659842.0
87,Secondary,Улица Скобелевская,12,Moscow,0,31.97,15.1,9.0,4,17,European-style renovation,10213986.0
88,Secondary,Новоясеневская,19,Moscow,2,37.44,20.2,8.8,19,14,Cosmetic,6570514.0
89,Secondary,Сухаревская,5,Moscow,2,96.02,52.3,19.2,5,16,European-style renovation,32512113.0
90,Secondary,Перерва,19,Moscow,1,30.37,11.9,4.9,7,14,Designer,13340424.0
91,Secondary,Бауманская,20,Moscow,4,68.59,45.9,20.1,12,10,Designer,39956316.0
92,Secondary,Жулебино,13,Moscow region,1,23.58,15.1,10.0,7,3,Without renovation,2532214.0
93,New building,Депо,19,Moscow,1,58.29,43.1,15.4,2,20,Cosmetic,6525630.0
94,Secondary,Новокузнецкая,19,Moscow,2,24.79,16.2,8.5,2,6,European-style renovation,6793447.0
95,New building,Котельники,4,Moscow region,1,61.92,44.6,11.4,10,20,Cosmetic,12082113.0
96,Secondary,Маяковская,13,Moscow,4,71.47,29.7,19.7,8,23,Without renovation,23093937.0
97,New building,Парк культуры,10,Moscow,4,152.5,89.6,19.9,6,16,Cosmetic,33043178.0
98,Secondary,Зябликово,4,Moscow region,0,30.0,11.3,3.5,6,16,Without renovation,7613698.0
99,New building,Котельники,12,Moscow region,1,45.31,27.1,4.6,12,14,Cosmetic,4279287.0
100,Secondary,Динамо,18,Moscow,3,93.27,59.2,10.0,6,23,Designer,69222565.0
101,New building,Котельники,13,Moscow region,2,20.26,11.3,4.2,12,20,Cosmetic,4767369.0
102,Secondary,Кузьминки,5,Moscow,1,61.6,51.4,21.5,13,23,European-style renovation,12345729.0
103,Secondary,Аннино,19,Moscow,1,24.59,15.0,8.4,7,9,Without renovation,6977946.0
104,Secondary,Некрасовка,25,Moscow,1,19.71,10.2,8.2,1,16,Without renovation,3459933.0
105,Secondary,Раменки,12,Moscow,1,42.86,25.6,8.2,1,22,Without renovation,13889466.0
106,New building,Жулебино,13,Moscow region,1,28.28,13.2,4.7,6,17,Cosmetic,3025789.0
107,Secondary,Белорусская,13,Moscow,1,19.13,8.0,6.3,1,4,Designer,12138601.0
108,Secondary,Аннино,8,Moscow,2,26.06,10.1,8.4,6,16,Without renovation,9168843.0
109,New building,Жулебино,12,Moscow region,3,144.23,87.4,19.8,7,5,Cosmetic,25222499.0
110,Secondary,Красногвардейская,10,Moscow region,0,19.21,16.2,8.4,3,20,European-style renovation,7048687.0
111,Secondary,Жулебино,5,Moscow region,1,34.64,24.4,5.1,4,29,Without renovation,8257172.0
112,Secondary,Чкаловская,7,Moscow,4,110.98,56.2,14.2,4,5,European-style renovation,43096908.0
113,Secondary,ЗИЛ,46,Moscow,0,25.1,20.8,5.7,4,10,European-style renovation,6042010.0
114,Secondary,Окская,16,Moscow,3,87.46,58.1,21.0,21,9,Cosmetic,10668721.0
115,Secondary,Бульвар Рокоссовского,5,Moscow,0,30.01,26.0,7.7,1,26,European-style renovation,12622554.0
116,Secondary,Братиславская,13,Moscow,1,36.69,9.5,9.9,20,14,Cosmetic,9119103.0
117,Secondary,Новослободская,6,Moscow,1,105.62,54.2,18.2,3,10,Designer,63487262.0
